PICKUP_DATE,DAY_OF_THE_WEEK,TRIP_COUNT
2014-04-12,Saturday,203
2014-11-08,Saturday,184
2014-09-06,Saturday,180
2014-03-06,Thursday,179
2014-10-11,Saturday,177
2014-04-17,Thursday,176
2014-05-17,Saturday,176
2014-04-30,Wednesday,175
2014-03-07,Friday,173
2014-04-23,Wednesday,173
2014-02-21,Friday,173
2014-09-19,Friday,172
2014-05-10,Saturday,171
2014-04-25,Friday,170
2014-10-25,Saturday,169
2014-02-25,Tuesday,169
2014-01-31,Friday,169
2014-03-13,Thursday,167
2014-03-08,Saturday,167
2014-11-14,Friday,166
2014-04-24,Thursday,166
2014-04-01,Tuesday,166
2014-05-23,Friday,166
2014-04-18,Friday,165
2014-05-31,Saturday,165
2014-05-21,Wednesday,164
2014-03-27,Thursday,164
2014-05-27,Tuesday,163
2014-11-01,Saturday,163
2014-03-14,Friday,163
2014-11-07,Friday,163
2014-11-21,Friday,162
2014-04-06,Sunday,162
2014-02-07,Friday,162
2014-03-22,Saturday,162
2014-02-22,Saturday,161
2014-09-10,Wednesday,161
2014-06-06,Friday,161
2014-04-27,Sunday,161
2014-03-21,Friday,161
2014-07-11,Friday,161
2014-06-14,Saturday,160
2014-04-05,Saturday,160
2014-03-20,Thursday,159
2014-01-30,Thursday,159
2014-12-03,Wednesday,159
2014-01-25,Saturday,159
2014-03-04,Tuesday,159
2014-09-20,Saturday,159
2014-02-06,Thursday,159
2014-04-16,Wednesday,158
2014-12-19,Friday,158
2014-02-27,Thursday,158
2014-06-26,Thursday,157
2014-04-09,Wednesday,157
2014-02-11,Tuesday,157
2014-03-09,Sunday,156
2014-04-03,Thursday,156
2014-12-13,Saturday,156
2014-04-04,Friday,156
2014-05-29,Thursday,155
2014-05-01,Thursday,155
2014-11-20,Thursday,155
2014-02-16,Sunday,155
2014-09-13,Saturday,155
2014-03-15,Saturday,155
2014-04-26,Saturday,155
2014-07-18,Friday,154
2014-12-11,Thursday,154
2014-09-17,Wednesday,154
2014-05-08,Thursday,154
2014-07-20,Sunday,154
2014-01-09,Thursday,154
2014-06-13,Friday,154
2014-06-12,Thursday,154
2014-01-11,Saturday,154
2014-03-01,Saturday,154
2014-01-26,Sunday,153
2014-02-14,Friday,153
2014-09-05,Friday,153
2014-06-05,Thursday,152
2014-01-18,Saturday,152
2014-11-26,Wednesday,152
2014-10-31,Friday,152
2014-06-01,Sunday,152
2014-01-29,Wednesday,152
2014-06-10,Tuesday,152
2014-04-11,Friday,152
2014-10-03,Friday,152
2014-04-13,Sunday,152
2014-10-23,Thursday,151
2014-03-30,Sunday,151
2014-09-27,Saturday,151
2014-04-15,Tuesday,151
2014-06-03,Tuesday,151
2014-03-12,Wednesday,150
2014-03-29,Saturday,150
2014-01-28,Tuesday,150
2014-02-28,Friday,150
2014-11-04,Tuesday,150
2014-03-19,Wednesday,150
2014-11-22,Saturday,150
2014-05-09,Friday,150
2014-01-12,Sunday,149
2014-07-12,Saturday,149
2014-07-15,Tuesday,149
2014-02-08,Saturday,149
2014-10-04,Saturday,148
2014-11-10,Monday,148
2014-09-11,Thursday,148
2014-01-07,Tuesday,148
2014-03-05,Wednesday,148
2014-03-02,Sunday,148
2014-08-15,Friday,147
2014-06-22,Sunday,147
2014-10-18,Saturday,147
2014-06-11,Wednesday,147
2014-09-28,Sunday,147
2014-10-29,Wednesday,147
2014-06-18,Wednesday,147
2014-05-16,Friday,146
2014-06-28,Saturday,146
2014-05-30,Friday,146
2014-07-26,Saturday,146
2014-11-12,Wednesday,145
2014-05-18,Sunday,145
2014-02-04,Tuesday,145
2014-10-15,Wednesday,145
2014-12-06,Saturday,145
2014-06-20,Friday,145
2014-09-14,Sunday,145
2014-01-17,Friday,145
2014-12-12,Friday,144
2014-02-12,Wednesday,144
2014-08-20,Wednesday,144
2014-03-26,Wednesday,144
2014-05-28,Wednesday,144
2014-09-22,Monday,144
2014-09-04,Thursday,144
2014-06-21,Saturday,144
2014-04-28,Monday,144
2014-01-01,Wednesday,143
2014-06-19,Thursday,143
