PICKUP_DATE,MONTH_OF_PICKUP,TOTAL_PICKUP
2014-04-12,April,203
2014-11-08,November,184
2014-09-06,September,180
2014-03-06,March,179
2014-10-11,October,177
2014-04-17,April,176
2014-05-17,May,176
2014-04-30,April,175
2014-04-23,April,173
2014-03-07,March,173
2014-02-21,February,173
2014-09-19,September,172
2014-05-10,May,171
2014-04-25,April,170
2014-10-25,October,169
2014-01-31,January,169
2014-02-25,February,169
2014-03-08,March,167
2014-03-13,March,167
2014-04-01,April,166
2014-05-23,May,166
2014-04-24,April,166
2014-11-14,November,166
2014-05-31,May,165
2014-04-18,April,165
2014-03-27,March,164
2014-05-21,May,164
2014-11-01,November,163
2014-03-14,March,163
2014-11-07,November,163
2014-05-27,May,163
2014-02-07,February,162
2014-11-21,November,162
2014-03-22,March,162
2014-04-06,April,162
2014-04-27,April,161
2014-03-21,March,161
2014-07-11,July,161
2014-02-22,February,161
2014-06-06,June,161
2014-09-10,September,161
2014-06-14,June,160
2014-04-05,April,160
2014-09-20,September,159
2014-01-25,January,159
2014-01-30,January,159
2014-12-03,December,159
2014-03-04,March,159
2014-03-20,March,159
2014-02-06,February,159
2014-12-19,December,158
2014-04-16,April,158
2014-02-27,February,158
2014-04-09,April,157
2014-02-11,February,157
2014-06-26,June,157
2014-12-13,December,156
2014-04-04,April,156
2014-04-03,April,156
2014-03-09,March,156
2014-11-20,November,155
2014-05-29,May,155
2014-04-26,April,155
2014-09-13,September,155
2014-05-01,May,155
2014-02-16,February,155
2014-03-15,March,155
2014-12-11,December,154
2014-06-12,June,154
2014-07-20,July,154
2014-05-08,May,154
2014-01-11,January,154
2014-07-18,July,154
2014-01-09,January,154
2014-06-13,June,154
2014-09-17,September,154
2014-03-01,March,154
2014-09-05,September,153
2014-01-26,January,153
2014-02-14,February,153
2014-10-03,October,152
2014-04-13,April,152
2014-06-01,June,152
2014-01-29,January,152
2014-06-05,June,152
2014-06-10,June,152
2014-11-26,November,152
2014-10-31,October,152
2014-01-18,January,152
2014-04-11,April,152
2014-10-23,October,151
2014-06-03,June,151
2014-03-30,March,151
2014-04-15,April,151
2014-09-27,September,151
2014-01-28,January,150
2014-03-12,March,150
2014-03-19,March,150
2014-05-09,May,150
2014-11-22,November,150
2014-03-29,March,150
2014-02-28,February,150
2014-11-04,November,150
2014-07-15,July,149
2014-02-08,February,149
2014-01-12,January,149
2014-07-12,July,149
