PICKUP_DATE,PICKUP_DAY,PICKUP_TIME,NUMBER_OF_TRIP
2014-02-11,Tuesday,22 hr,22
2014-04-12,Saturday,19 hr,21
2014-11-08,Saturday,23 hr,20
2014-08-13,Wednesday,18 hr,20
2014-06-20,Friday,23 hr,19
2014-09-13,Saturday,14 hr,19
2014-07-18,Friday,20 hr,18
2014-10-29,Wednesday,21 hr,18
2014-02-14,Friday,21 hr,18
2014-02-21,Friday,22 hr,18
2014-03-04,Tuesday,8 hr,18
2014-10-27,Monday,21 hr,18
2014-10-19,Sunday,2 hr,17
2014-09-22,Monday,20 hr,17
2014-04-19,Saturday,19 hr,17
2014-04-16,Wednesday,21 hr,17
2014-05-21,Wednesday,20 hr,17
2014-07-22,Tuesday,21 hr,17
2014-07-08,Tuesday,21 hr,17
2014-11-21,Friday,22 hr,17
2014-06-22,Sunday,17 hr,17
2014-06-21,Saturday,19 hr,17
2014-02-16,Sunday,19 hr,16
2014-03-21,Friday,18 hr,16
2014-02-14,Friday,18 hr,16
2014-11-08,Saturday,22 hr,16
2014-11-07,Friday,22 hr,16
2014-03-26,Wednesday,18 hr,16
2014-10-05,Sunday,13 hr,16
2014-03-13,Thursday,21 hr,16
2014-04-15,Tuesday,20 hr,16
2014-03-19,Wednesday,19 hr,16
2014-04-23,Wednesday,19 hr,16
2014-02-22,Saturday,19 hr,16
2014-10-11,Saturday,23 hr,16
2014-03-09,Sunday,12 hr,16
2014-04-18,Friday,23 hr,16
2014-11-25,Tuesday,9 hr,15
2014-04-12,Saturday,20 hr,15
2014-05-29,Thursday,23 hr,15
2014-03-31,Monday,22 hr,15
2014-12-04,Thursday,19 hr,15
2014-11-10,Monday,21 hr,15
2014-09-19,Friday,15 hr,15
2014-05-17,Saturday,21 hr,15
2014-05-10,Saturday,23 hr,15
2014-08-21,Thursday,8 hr,15
2014-08-20,Wednesday,19 hr,15
2014-09-26,Friday,19 hr,15
2014-01-28,Tuesday,14 hr,15
2014-04-30,Wednesday,10 hr,15
2014-09-14,Sunday,1 hr,15
2014-04-24,Thursday,23 hr,15
2014-05-09,Friday,20 hr,15
2014-01-27,Monday,19 hr,15
2014-06-11,Wednesday,21 hr,15
2014-11-26,Wednesday,22 hr,15
2014-06-21,Saturday,23 hr,15
2014-04-26,Saturday,21 hr,15
2014-06-11,Wednesday,9 hr,15
2014-02-21,Friday,8 hr,15
2014-10-24,Friday,22 hr,15
2014-05-31,Saturday,13 hr,15
2014-04-23,Wednesday,22 hr,15
2014-04-23,Wednesday,20 hr,15
2014-04-17,Thursday,20 hr,15
2014-02-19,Wednesday,19 hr,15
2014-03-15,Saturday,23 hr,15
2014-01-30,Thursday,21 hr,15
2014-01-11,Saturday,23 hr,15
2014-02-25,Tuesday,22 hr,15
2014-09-10,Wednesday,8 hr,14
2014-11-14,Friday,14 hr,14
2014-01-26,Sunday,13 hr,14
2014-03-05,Wednesday,10 hr,14
2014-11-25,Tuesday,19 hr,14
2014-03-13,Thursday,9 hr,14
2014-04-09,Wednesday,17 hr,14
2014-11-08,Saturday,19 hr,14
2014-09-22,Monday,23 hr,14
2014-04-14,Monday,19 hr,14
2014-02-15,Saturday,19 hr,14
2014-03-01,Saturday,15 hr,14
2014-05-21,Wednesday,19 hr,14
2014-07-24,Thursday,19 hr,14
2014-05-30,Friday,21 hr,14
2014-03-11,Tuesday,15 hr,14
